email,dépenses
mboulanger@dbmail.com,140.83
rleclerc@dbmail.com,70.66
odiallo@yahoo.fr,76.92
mmichel@wanadoo.fr,19.62
dchevallier@laposte.net,146.81
glaporte@hotmail.fr,132.82
emillet@sfr.fr,75.36
nmartel@ifrance.com,39.0
eberthelot@yahoo.fr,128.07
gmahe@bouygtel.fr,130.03
btoussaint@live.com,92.34
tvallee@orange.fr,110.17
ageorges@live.com,102.03
maubert@dbmail.com,93.06
lmartineau@sfr.fr,121.34
fregnier@wanadoo.fr,47.95
cmuller@tiscali.fr,40.8
tvincent@live.com,76.7
vgaudin@voila.fr,107.39
cfournier@gmail.com,14.16
ogregoire@tele2.fr,34.77
vdelorme@voila.fr,29.75
hcharpentier@club-internet.fr,81.65
cvalette@yahoo.fr,64.41
blemoine@gmail.com,141.54
ccaron@gmail.com,92.07
dlucas@voila.fr,24.48
waubert@orange.fr,79.65
dbruneau@tiscali.fr,40.73
ade oliveira@club-internet.fr,101.65
mguillot@noos.fr,3.17
jchevalier@hotmail.fr,128.25
ebazin@gmail.com,61.28
jmarchal@dbmail.com,36.98
nberthelot@wanadoo.fr,35.93
acarlier@orange.fr,119.28
emarty@gmail.com,100.48
lgimenez@club-internet.fr,95.62
jdubois@tiscali.fr,96.73
dthierry@sfr.fr,92.34
fbrunel@live.com,67.31
cbertin@dbmail.com,123.88
nmerle@sfr.fr,146.25
prenaud@gmail.com,28.55
ablanchard@orange.fr,99.98
jvallet@noos.fr,51.67
njoly@sfr.fr,123.39
lrobert@dbmail.com,136.93
slemonnier@tele2.fr,20.75
srossi@dbmail.com,3.76
cmaillot@noos.fr,129.84
acharpentier@wanadoo.fr,108.81
arossi@bouygtel.fr,9.41
rweber@free.fr,90.79
apottier@club-internet.fr,97.07
elebreton@sfr.fr,60.66
choarau@hotmail.fr,40.26
hbourgeois@laposte.net,28.33
ddaniel@free.fr,49.39
jmorin@club-internet.fr,131.88
amaurice@ifrance.com,119.68
mnoel@hotmail.fr,151.1
chumbert@free.fr,96.36
hdubois@yahoo.fr,10.19
mdupuy@voila.fr,117.64
smartinez@free.fr,52.44
llaunay@live.com,118.24
mpereira@bouygtel.fr,12.25
aboucher@voila.fr,34.41
ccharpentier@free.fr,130.02
llejeune@tele2.fr,107.25
vpires@tele2.fr,89.34
mmichel@noos.fr,135.14
jpetitjean@hotmail.fr,38.8
mperrin@laposte.net,46.93
srodrigues@live.com,82.59
tlefebvre@ifrance.com,127.51
rmarques@ifrance.com,115.47
pjoly@free.fr,38.32
glejeune@dbmail.com,17.94
lgimenez@dbmail.com,112.32
fguillot@free.fr,100.95
gjourdan@bouygtel.fr,124.93
abaron@sfr.fr,62.02
ale roux@tele2.fr,112.86
cbruneau@gmail.com,124.41
mmorin@live.com,75.61
lsimon@sfr.fr,34.92
pribeiro@bouygtel.fr,26.24
edelannoy@tele2.fr,87.77
nnavarro@tele2.fr,60.61
gmillet@dbmail.com,5.76
dgarcia@hotmail.fr,128.25
jthomas@tele2.fr,105.51
nguillou@dbmail.com,94.66
mlegros@laposte.net,54.99
hwagner@orange.fr,71.93
pweiss@voila.fr,79.11
adidier@yahoo.fr,23.37
ejourdan@noos.fr,140.62
agarnier@gmail.com,47.48
steixeira@bouygtel.fr,25.94
abaudry@free.fr,20.9
ngilbert@orange.fr,88.68
hmartins@orange.fr,135.14
jmoreau@hotmail.fr,151.79
ablot@live.com,2.25
bbegue@tiscali.fr,145.77
graynaud@tele2.fr,141.51
ele goff@orange.fr,133.49
nollivier@laposte.net,34.97
atexier@live.com,60.95
hcharpentier@noos.fr,32.68
mbrunet@hotmail.fr,53.33
maubry@wanadoo.fr,39.88
cauger@tele2.fr,86.71
jlaroche@free.fr,97.77
aollivier@hotmail.fr,42.21
mbertrand@sfr.fr,22.79
edos santos@wanadoo.fr,77.44
droy@bouygtel.fr,118.73
ldufour@sfr.fr,132.49
bpereira@wanadoo.fr,66.77
cblin@tiscali.fr,22.44
rmartins@sfr.fr,151.89
sramos@sfr.fr,96.78
criou@voila.fr,121.46
tjacquet@gmail.com,121.47
mroux@ifrance.com,129.94
spierre@voila.fr,135.35
rbertrand@dbmail.com,14.56
tgomez@tiscali.fr,33.75
apons@voila.fr,87.17
mdos santos@laposte.net,67.19
nphilippe@laposte.net,151.28
adidier@wanadoo.fr,37.87
nmarie@ifrance.com,85.26
nbaudry@tele2.fr,16.55
alombard@laposte.net,45.91
tlemaitre@club-internet.fr,65.69
fgarcia@noos.fr,120.27
orodriguez@yahoo.fr,70.69
ccolas@bouygtel.fr,66.28
gbriand@sfr.fr,149.39
mle gall@laposte.net,50.15
amasson@orange.fr,151.98
aadam@hotmail.fr,105.48
gmarchal@yahoo.fr,100.27
hnormand@tiscali.fr,58.35
sleveque@hotmail.fr,45.3
cguillet@club-internet.fr,120.74
nleduc@bouygtel.fr,25.03
cpetit@gmail.com,32.79
mpeltier@yahoo.fr,46.89
mmasse@hotmail.fr,81.28
emorvan@noos.fr,38.26
glacroix@wanadoo.fr,34.14
alaine@bouygtel.fr,145.45
vhoareau@bouygtel.fr,85.15
abarbier@free.fr,145.11
slegros@club-internet.fr,116.75
odumas@gmail.com,104.14
acharrier@yahoo.fr,45.36
vhardy@dbmail.com,5.82
flelievre@bouygtel.fr,116.83
fmorin@club-internet.fr,123.78
mbenoit@hotmail.fr,28.68
abouvier@tele2.fr,19.12
mbarthelemy@dbmail.com,120.88
jetienne@voila.fr,5.15
ohumbert@yahoo.fr,80.0
ggilles@bouygtel.fr,64.96
ppicard@tiscali.fr,112.74
pbernier@tele2.fr,56.72
tcaron@laposte.net,94.21
fcarlier@orange.fr,77.8
epeltier@tiscali.fr,25.59
ndelannoy@tiscali.fr,116.59
jweber@tiscali.fr,68.01
cfabre@wanadoo.fr,108.44
odavid@tele2.fr,91.12
earnaud@tiscali.fr,55.69
prolland@sfr.fr,97.77
mbailly@ifrance.com,124.06
adenis@laposte.net,32.75
gtecher@orange.fr,77.81
ablanc@ifrance.com,145.7
lperez@tiscali.fr,58.12
ede oliveira@hotmail.fr,32.23
fauger@free.fr,129.96
bsauvage@laposte.net,143.65
vfournier@laposte.net,48.22
aregnier@club-internet.fr,125.54
bcamus@ifrance.com,23.33
mrenaud@live.com,40.82
llelievre@live.com,48.35
tmarques@orange.fr,15.89
colivier@dbmail.com,143.42
lnavarro@orange.fr,74.85
vdias@laposte.net,45.73
wregnier@bouygtel.fr,27.78
pchretien@live.com,41.76
rlacombe@noos.fr,96.1
cguilbert@tele2.fr,4.75
dcolin@dbmail.com,145.98
mweiss@bouygtel.fr,6.78
pdevaux@tele2.fr,55.66
cmartin@tiscali.fr,58.63
gbonnin@laposte.net,53.33
avallee@tiscali.fr,136.89
tmathieu@laposte.net,40.4
emorel@live.com,101.36
bfleury@noos.fr,43.41
tlouis@sfr.fr,28.91
nperret@yahoo.fr,42.94
himbert@ifrance.com,70.17
mpons@tele2.fr,68.02
jgilles@orange.fr,87.57
eantoine@laposte.net,82.88
rpruvost@noos.fr,38.06
enguyen@noos.fr,47.25
obernard@orange.fr,94.27
dbouvet@laposte.net,106.85
ble goff@club-internet.fr,122.46
omathieu@orange.fr,24.25
briou@club-internet.fr,106.76
dmarechal@club-internet.fr,127.14
rpereira@gmail.com,147.84
clejeune@yahoo.fr,46.73
cboulay@bouygtel.fr,41.96
pdeschamps@wanadoo.fr,131.81
bperrin@tele2.fr,126.74
jtessier@live.com,18.85
oreynaud@yahoo.fr,151.27
jlenoir@dbmail.com,20.36
operrier@voila.fr,109.24
fbailly@tele2.fr,115.71
tcoste@free.fr,138.07
rbrunet@laposte.net,96.99
cbenard@wanadoo.fr,68.47
mchauvet@tele2.fr,18.33
mseguin@sfr.fr,139.62
mdumont@noos.fr,61.84
hbruneau@live.com,9.36
ebarbe@tele2.fr,96.07
sgaillard@yahoo.fr,104.12
iperrot@yahoo.fr,118.13
idos santos@orange.fr,34.46
cbesson@laposte.net,51.95
abernard@dbmail.com,114.87
hauger@voila.fr,70.93
ageorges@ifrance.com,12.9
nleleu@orange.fr,81.69
mbrunel@tiscali.fr,147.43
mlopez@club-internet.fr,91.36
sseguin@noos.fr,133.21
tguichard@free.fr,67.43
tlemaire@tiscali.fr,73.85
oolivier@gmail.com,75.45
mriou@free.fr,43.51
fpetitjean@free.fr,127.23
gvidal@yahoo.fr,60.1
gbaudry@tele2.fr,108.18
dteixeira@voila.fr,66.67
eregnier@hotmail.fr,107.95
mlejeune@tiscali.fr,13.85
nhenry@live.com,37.91
mlucas@wanadoo.fr,145.57
zmarty@yahoo.fr,94.03
abarbier@tele2.fr,76.05
croger@tiscali.fr,138.57
mboucher@tiscali.fr,95.41
jmaurice@tele2.fr,148.93
rfernandez@live.com,29.05
cbertin@free.fr,139.36
emarion@tiscali.fr,101.46
slebreton@voila.fr,143.32
rpages@voila.fr,59.23
arobert@bouygtel.fr,113.83
vpons@dbmail.com,131.66
lgilles@yahoo.fr,48.22
rlopes@tiscali.fr,97.15
cgerard@laposte.net,133.88
jcharpentier@tiscali.fr,129.04
mblin@orange.fr,48.15
cgeorges@bouygtel.fr,29.95
ojoseph@hotmail.fr,16.63
cduhamel@bouygtel.fr,9.53
triou@live.com,87.07
mmarty@dbmail.com,77.63
lpottier@wanadoo.fr,130.44
pgosselin@voila.fr,128.79
rblanchet@yahoo.fr,119.95
sphilippe@tiscali.fr,11.02
thamon@yahoo.fr,89.24
cblondel@ifrance.com,77.92
mmathieu@yahoo.fr,86.09
dlefevre@gmail.com,75.4
atorres@live.com,84.19
jruiz@orange.fr,144.13
ophilippe@gmail.com,71.0
jbrunel@laposte.net,151.32
gjean@club-internet.fr,89.72
rdubois@dbmail.com,41.49
gjean@gmail.com,127.02
mthibault@orange.fr,100.91
elanglois@tiscali.fr,38.16
mmarques@orange.fr,109.16
ipetitjean@noos.fr,78.66
agillet@gmail.com,119.78
glopes@laposte.net,4.0
dguerin@gmail.com,64.21
jroger@ifrance.com,43.2
rroussel@yahoo.fr,4.81
adumont@free.fr,94.49
nlopez@dbmail.com,19.19
njoubert@voila.fr,91.03
emenard@noos.fr,12.85
sleroy@voila.fr,150.92
mvalentin@laposte.net,45.91
fjoseph@voila.fr,14.38
jmaillot@club-internet.fr,51.96
lmaillot@hotmail.fr,7.42
omerle@wanadoo.fr,77.18
cweber@bouygtel.fr,87.51
mchretien@noos.fr,113.7
xdavid@club-internet.fr,19.77
ptexier@free.fr,80.87
ede sousa@voila.fr,43.72
rcolas@free.fr,51.77
vmichaud@gmail.com,29.0
hlebrun@bouygtel.fr,111.03
jperrin@wanadoo.fr,139.83
atorres@noos.fr,128.76
gbenoit@bouygtel.fr,6.35
adiaz@ifrance.com,106.42
tgilles@bouygtel.fr,22.0
amendes@ifrance.com,118.14
dbouvet@laposte.net,128.94
mbarthelemy@voila.fr,84.92
sde oliveira@ifrance.com,81.14
tboucher@sfr.fr,36.65
ateixeira@gmail.com,10.61
hda costa@gmail.com,140.11
jgilles@sfr.fr,125.61
rroux@orange.fr,62.69
ggilbert@gmail.com,99.04
asanchez@wanadoo.fr,151.22
mmendes@bouygtel.fr,95.73
dbaron@sfr.fr,67.53
lgregoire@sfr.fr,145.4
mraymond@gmail.com,150.33
mmoreno@orange.fr,12.83
gperret@orange.fr,92.61
sda silva@wanadoo.fr,122.52
npayet@tiscali.fr,9.51
nperez@wanadoo.fr,115.76
plucas@sfr.fr,76.84
dchartier@laposte.net,119.38
nfischer@gmail.com,150.26
cjoly@yahoo.fr,129.11
ncarlier@hotmail.fr,17.32
aregnier@wanadoo.fr,120.99
flombard@dbmail.com,121.16
smaillard@voila.fr,77.32
dmallet@voila.fr,93.87
lhenry@voila.fr,117.33
dlemaire@orange.fr,110.8
ylamy@bouygtel.fr,135.63
abriand@wanadoo.fr,105.33
nlesage@live.com,18.65
xmarin@tele2.fr,43.92
tguibert@bouygtel.fr,44.41
vgarcia@wanadoo.fr,99.24
mroussel@dbmail.com,136.89
jrobert@yahoo.fr,109.82
rimbert@laposte.net,27.91
aarnaud@orange.fr,56.34
fpierre@noos.fr,9.51
llouis@wanadoo.fr,37.82
pboucher@wanadoo.fr,13.57
pgoncalves@ifrance.com,87.75
aboyer@ifrance.com,97.06
nmahe@gmail.com,14.91
sfontaine@free.fr,130.21
gpereira@hotmail.fr,84.45
dlacombe@yahoo.fr,137.69
ahamon@yahoo.fr,151.11
ccohen@dbmail.com,70.0
hferrand@dbmail.com,91.16
dlegrand@wanadoo.fr,116.58
vhumbert@orange.fr,83.47
slegrand@live.com,93.01
rguillon@noos.fr,20.11
atorres@bouygtel.fr,43.2
mneveu@bouygtel.fr,127.73
abouvet@yahoo.fr,118.78
psimon@ifrance.com,110.53
abrun@laposte.net,81.91
idupuy@ifrance.com,9.96
pauger@orange.fr,48.14
pdidier@yahoo.fr,42.48
jchauveau@voila.fr,46.06
dlagarde@club-internet.fr,135.89
bpicard@orange.fr,46.81
zbuisson@club-internet.fr,102.3
cperez@noos.fr,10.37
afontaine@laposte.net,99.75
cmartinez@wanadoo.fr,97.17
vcollin@ifrance.com,107.24
mhebert@live.com,107.28
ejacquet@orange.fr,65.28
slombard@free.fr,138.2
rlefort@bouygtel.fr,111.3
llecoq@hotmail.fr,17.88
wmarchand@live.com,101.37
mramos@club-internet.fr,98.13
agaillard@dbmail.com,107.81
sverdier@tele2.fr,128.46
vsauvage@live.com,4.25
bklein@yahoo.fr,143.34
tbenard@free.fr,91.77
lcharrier@dbmail.com,41.57
gjoly@free.fr,71.89
jgilbert@live.com,51.53
sverdier@ifrance.com,3.31
mguillou@tele2.fr,133.92
plabbe@dbmail.com,22.25
claine@ifrance.com,24.07
alebon@yahoo.fr,94.01
tphilippe@bouygtel.fr,140.88
drenault@tele2.fr,2.26
cgrondin@ifrance.com,25.56
dmarion@dbmail.com,89.11
emaillet@noos.fr,138.3
jcarlier@gmail.com,28.08
omorel@gmail.com,76.7
jgimenez@sfr.fr,65.8
cmeunier@orange.fr,31.47
ttexier@ifrance.com,38.37
cmarchand@orange.fr,56.02
jneveu@laposte.net,96.32
lchauveau@noos.fr,28.83
gpetitjean@laposte.net,24.97
omerle@wanadoo.fr,102.62
jmaurice@tiscali.fr,40.27
bdelmas@tiscali.fr,108.78
dbriand@dbmail.com,55.06
jhumbert@voila.fr,101.43
ppetitjean@wanadoo.fr,51.5
mcouturier@laposte.net,80.74
mroussel@wanadoo.fr,144.85
ale goff@gmail.com,47.21
alenoir@orange.fr,26.54
djoseph@noos.fr,18.96
lfaure@voila.fr,67.87
aboulanger@orange.fr,139.16
rsamson@gmail.com,114.93
scamus@orange.fr,29.29
ajoly@tiscali.fr,24.07
rdumas@tiscali.fr,4.46
mlebreton@sfr.fr,60.53
lcohen@tiscali.fr,147.19
lberthelot@orange.fr,134.49
bbouvier@laposte.net,72.29
odaniel@dbmail.com,137.75
mbriand@club-internet.fr,129.15
oblot@wanadoo.fr,43.67
llemoine@voila.fr,54.65
vgomez@hotmail.fr,103.25
grocher@laposte.net,33.83
mtraore@bouygtel.fr,133.79
djean@voila.fr,94.8
jpons@tele2.fr,34.67
sfrancois@bouygtel.fr,135.77
mhamel@ifrance.com,87.77
fblanchard@ifrance.com,102.22
fremy@hotmail.fr,67.32
vlamy@orange.fr,90.17
cboutin@voila.fr,64.19
fberger@tele2.fr,31.52
gbailly@wanadoo.fr,130.39
cfouquet@sfr.fr,74.25
pguilbert@ifrance.com,13.16
jferrand@yahoo.fr,72.73
egeorges@yahoo.fr,101.93
lbarbier@live.com,13.02
alacroix@hotmail.fr,34.49
mollivier@hotmail.fr,134.6
crey@bouygtel.fr,98.22
rlopes@tiscali.fr,60.65
hantoine@laposte.net,101.96
caubry@tiscali.fr,126.52
rfleury@ifrance.com,122.05
emaillet@bouygtel.fr,13.99
hgodard@gmail.com,126.74
ojacques@laposte.net,61.19
ccolin@voila.fr,9.22
dguerin@bouygtel.fr,17.78
acohen@ifrance.com,125.72
achevallier@tele2.fr,131.08
jdidier@ifrance.com,134.76
criou@yahoo.fr,107.94
lpruvost@gmail.com,142.5
pguillon@tele2.fr,66.49
pchevalier@laposte.net,49.58
hseguin@voila.fr,144.57
efernandez@ifrance.com,15.74
fletellier@yahoo.fr,12.73
cchretien@orange.fr,121.56
oberger@voila.fr,50.46
mhoareau@hotmail.fr,74.01
bmercier@voila.fr,73.26
rmallet@hotmail.fr,146.25
hmarechal@voila.fr,128.01
cbrun@laposte.net,44.97
sribeiro@bouygtel.fr,149.38
grolland@laposte.net,68.95
tlombard@dbmail.com,133.85
vlambert@gmail.com,69.7
jreynaud@laposte.net,35.34
cchauvin@noos.fr,136.54
rmathieu@gmail.com,26.22
hmaillard@tele2.fr,107.76
vlebrun@tele2.fr,28.94
lpascal@bouygtel.fr,80.13
eroy@live.com,4.4
amathieu@bouygtel.fr,16.3
gmorel@yahoo.fr,122.31
acollet@hotmail.fr,135.91
vfischer@sfr.fr,34.55
aroyer@tiscali.fr,39.51
abecker@dbmail.com,128.57
ggonzalez@live.com,106.49
bthierry@bouygtel.fr,137.9
crichard@live.com,9.31
sjean@yahoo.fr,24.28
lferrand@voila.fr,120.08
ldupont@dbmail.com,115.85
alenoir@orange.fr,49.54
gbousquet@ifrance.com,29.82
nclerc@dbmail.com,109.98
acolin@laposte.net,124.84
drenault@orange.fr,53.13
vjoseph@tele2.fr,140.24
cvallee@sfr.fr,51.2
vmerle@laposte.net,79.09
sreynaud@dbmail.com,30.53
nalves@bouygtel.fr,125.96
jlemaire@yahoo.fr,8.98
opierre@yahoo.fr,50.32
sbecker@wanadoo.fr,11.3
sschneider@tiscali.fr,135.2
aaubry@voila.fr,51.58
mbourdon@tele2.fr,127.17
jfernandez@dbmail.com,105.05
gboutin@tiscali.fr,113.59
aleconte@free.fr,11.38
aantoine@orange.fr,92.48
fleconte@laposte.net,79.79
flaunay@free.fr,51.64
rramos@voila.fr,12.97
acollin@hotmail.fr,24.25
aturpin@gmail.com,142.22
sdufour@bouygtel.fr,141.99
anguyen@tele2.fr,132.09
ndeschamps@free.fr,3.31
rlaine@club-internet.fr,20.68
ldenis@yahoo.fr,56.93
acollet@laposte.net,65.69
dleleu@wanadoo.fr,150.58
enormand@noos.fr,143.01
hbouchet@yahoo.fr,53.65
apayet@tiscali.fr,127.33
cbesson@yahoo.fr,68.08
wpages@wanadoo.fr,61.77
bdupuis@dbmail.com,12.33
aremy@live.com,122.34
cdufour@gmail.com,139.67
gmaillot@live.com,123.67
fgilles@live.com,56.49
fcamus@tiscali.fr,151.17
amerle@gmail.com,92.87
bcohen@tiscali.fr,55.52
ateixeira@hotmail.fr,132.02
fpeltier@ifrance.com,121.59
oseguin@free.fr,127.93
mlebon@sfr.fr,144.77
ctoussaint@ifrance.com,114.7
eloiseau@yahoo.fr,9.23
lmartineau@wanadoo.fr,118.9
fdaniel@voila.fr,113.34
avallet@laposte.net,66.53
cgaillard@tiscali.fr,16.52
gberger@wanadoo.fr,143.39
cfischer@noos.fr,22.17
jfouquet@wanadoo.fr,28.62
jollivier@dbmail.com,35.58
vpayet@voila.fr,37.13
sevrard@tele2.fr,94.21
dmoulin@free.fr,29.93
pdescamps@tele2.fr,12.64
achretien@tele2.fr,97.47
tprevost@hotmail.fr,13.77
ddupuis@laposte.net,115.1
dle goff@gmail.com,50.05
amaurice@live.com,48.05
svalette@yahoo.fr,90.6
cdelaunay@club-internet.fr,6.42
ltecher@free.fr,24.78
bmaury@live.com,16.4
rnavarro@live.com,45.46
cregnier@orange.fr,110.81
hle gall@club-internet.fr,100.01
dmarty@yahoo.fr,26.32
jlefevre@orange.fr,134.31
emorvan@ifrance.com,133.15
wtexier@ifrance.com,72.9
sgomez@noos.fr,111.94
rle roux@hotmail.fr,135.12
avincent@hotmail.fr,34.35
eimbert@wanadoo.fr,71.21
rlouis@dbmail.com,67.83
agregoire@bouygtel.fr,82.37
plaurent@free.fr,80.22
mlopes@tiscali.fr,115.71
mrodriguez@wanadoo.fr,115.32
lmercier@orange.fr,68.37
agillet@noos.fr,47.1
jmarechal@free.fr,120.11
dguillet@bouygtel.fr,96.47
sadam@live.com,24.01
aduval@hotmail.fr,148.05
jolivier@live.com,77.54
ple goff@ifrance.com,151.64
epoirier@hotmail.fr,40.79
mrolland@noos.fr,68.59
emaillet@bouygtel.fr,45.66
sblondel@tiscali.fr,9.37
glopez@bouygtel.fr,106.09
ggodard@bouygtel.fr,101.5
rjacquet@noos.fr,11.95
bbarre@bouygtel.fr,101.83
driviere@wanadoo.fr,47.9
dhenry@sfr.fr,131.95
eandre@bouygtel.fr,87.57
cruiz@ifrance.com,62.09
idias@tiscali.fr,115.6
lgilbert@gmail.com,4.2
sjourdan@tele2.fr,93.92
arolland@yahoo.fr,16.38
gadam@orange.fr,48.34
slenoir@tiscali.fr,53.87
mbertin@club-internet.fr,135.31
ddevaux@orange.fr,132.52
mcoulon@yahoo.fr,37.25
tcousin@yahoo.fr,104.86
cfaure@sfr.fr,115.99
bbonnin@wanadoo.fr,147.3
abouvet@free.fr,15.3
mvasseur@noos.fr,140.45
sdelahaye@ifrance.com,119.66
lmartins@club-internet.fr,144.95
pjacquot@live.com,42.18
lweber@hotmail.fr,108.09
jsimon@ifrance.com,139.36
rcarpentier@club-internet.fr,3.18
zchartier@gmail.com,149.06
egauthier@gmail.com,57.77
amoreno@club-internet.fr,97.27
mbaudry@orange.fr,36.45
dmarchand@dbmail.com,144.43
tbuisson@club-internet.fr,42.79
tbesnard@yahoo.fr,125.18
cchauvin@dbmail.com,18.29
tpeltier@gmail.com,104.23
clemaitre@laposte.net,40.98
mrenault@live.com,10.65
rmathieu@dbmail.com,116.58
cdelaunay@ifrance.com,64.11
pblanchet@tele2.fr,123.06
fbouvet@wanadoo.fr,72.42
cmartinez@tiscali.fr,99.78
adupuis@voila.fr,73.04
rle roux@free.fr,50.82
sbailly@voila.fr,141.6
abouvier@dbmail.com,97.03
nrobin@bouygtel.fr,94.39
bmaillet@wanadoo.fr,45.56
cleblanc@tele2.fr,106.82
ajoly@sfr.fr,32.45
lnormand@hotmail.fr,47.89
emeunier@bouygtel.fr,137.01
pfrancois@voila.fr,125.09
dduval@hotmail.fr,114.27
slabbe@hotmail.fr,110.38
gtoussaint@hotmail.fr,147.93
clesage@voila.fr,29.19
dverdier@laposte.net,35.42
dmartineau@noos.fr,71.16
sramos@laposte.net,26.28
owagner@live.com,45.64
rpicard@bouygtel.fr,133.46
alaroche@live.com,131.76
smarty@tiscali.fr,51.89
xnguyen@sfr.fr,148.93
cduval@tiscali.fr,53.84
aleclerc@orange.fr,92.97
vleroux@bouygtel.fr,130.97
mguilbert@ifrance.com,29.6
wguerin@bouygtel.fr,130.7
jgirard@sfr.fr,146.05
afernandez@tele2.fr,137.56
emerle@yahoo.fr,118.09
afoucher@orange.fr,45.7
gbesson@tele2.fr,59.05
jboulay@laposte.net,111.05
vbuisson@voila.fr,4.87
flopes@hotmail.fr,38.39
xblondel@wanadoo.fr,51.15
